Department,Course Code,Course Name,Credits,Coordinator Name,Instructor name,Segment Name,Course Slot Code,Class Timings,Room No.
Academic,LW5060,Automotive Materials Part-II,2.00,Unspecified,Unspecified,1-6,,,
Academic,SE5520,"Carbon Capture, Utilization and Storage",3.00,Dr. Deepu J. Babu,Dr. Deepu J. Babu,1-6,P_JAN26-APR26,"Monday-14:30-15:55,Thursday-16:00-17:25",LHC-07-Capacity:200
Academic,SE5360,Chemistry for Sustainable Energy.,2.00,Dr. Somnath Maji,Dr. Somnath Maji,1-4,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",A-Class Room 117-Capacity:84
Academic,LW5090,Design for Metal Additive Manufacturing,3.00,Dr. Viswanath Chinthapenta,Dr. Viswanath Chinthapenta,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",C-LH-7-Capacity:70
Academic,EE5650,Fundamentals of Semiconductor Package Manufacturing and Test,3.00,Prof. Shiv Govind Singh,Prof. Shiv Govind Singh,1-6,EE5650_JAN26-APR26,"Monday 16:00 to 17:30, Tuesday 16:00 to 17:30 Wednesday 16:00 to 17:30",EE-004(GF) (80)
Academic,LW5011,Lightweighting Design Lab,1.00,Dr. Syed Nizamuddin Khaderi,Dr. Syed Nizamuddin Khaderi,1-6,AN3_JAN26-APR26,Wednesday-15:30-17:25,Lab
Academic,LW5110,Lightweighting Design Topics,3.00,Dr. Syed Nizamuddin Khaderi,"Dr. Ramji M, Dr. Viswanath Chinthapenta, Dr. Syed Nizamuddin ",1-2,Q_JAN26-APR26,"Monday-16:00-17:25,Thursday-14:30-15:55",C-LH-7-Capacity:70
Academic,SE6025,M Tech Thesis Stage 2,12.00,Unspecified,Unspecified,1-6,Thesis,Thesis,Thesis
Academic,LW5040,Manufacturing Science for Lightweighting,2.00,Dr. Muvvala Gopinath,Dr. Muvvala Gopinath,3-6,C_JAN26-APR26,"Wednesday-10:00-10:55,Thursday-09:00-09:55,Monday-11:01-11:55",C-LH-8-Capacity:40
Academic,LW5070,Materials and processes for resource‐efficient transport ,2.00,Unspecified,Unspecified,1-6,,,
Academic,SE5310,Photovoltaic technologies and solar economy,3.00,Dr. Ashish Kulkarni,Dr. Ashish Kulkarni & Prof. Pradeep Yemula,1-6,D_JAN26-APR26,"Monday-12:00-12:55,Tuesday-09:00-09:55,Friday-11:00-11:55",A-Class Room 117-Capacity:84
Academic,SE5290,Recycling and Sustainability of Green Energy Materials,2.00,Dr. Suhash Ranjan Dey,Dr. Suhash Ranjan Dey,1-4,B_JAN26-APR26,"Monday-10:00-10:55,Wednesday-09:00-09:55,Thursday-11:00-11:55",MSME-LH-2-Capacity:60
Academic,ID3405,Semester Internship,6.00,Unspecified,Unspecified,1-6,Internship,Internship,Internship - No Classroom required
